url,title,franchise_flag,rest_type,rest_price,rest_facility,rest_longlat,rating,review
https://www.zomato.com/jakarta/burgreens-eatery-kelapa-gading/info,Burgreens Eatery,0,Healthy Food|Western|Indonesian,Rp250.000 for two people (approx.),Breakfast|Home Delivery|Takeaway Available|Indoor Seating|Table booking recommended|Vegan Options|Brunch|Desserts and Bakes|Kid Friendly|Gluten Free Options|Vegetarian Friendly|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1512420000,106.8932300000']",4,59
https://www.zomato.com/jakarta/bakmi-bintang-gading-kelapa-gading/info,Bakmi Bintang Gading,0,Bakmi|Chinese|Dimsum,Rp120.000 for two people (approx.),Breakfast|Home Delivery|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1512492891,106.9090590254']",4.3,326
https://www.zomato.com/jakarta/pizzeria-cavalese-kelapa-gading/info,Pizzeria Cavalese,0,Italian|Pizza,Rp200.000 for two people (approx.) Without alcohol,Home Delivery|Takeaway Available|Beer|Table booking recommended|Smoking Area|Vegetarian Friendly|Indoor Seating|Private Dining Area Available|Wifi,"['https://www.google.com/maps/dir/?api=1&destination=-6.1509490000,106.8929500000']",4,74
https://www.zomato.com/jakarta/street-steak-kelapa-gading/info,Street Steak,0,Steak,Rp220.000 for two people (approx.),Takeaway Available|Private Dining Area Available|Praying Room|Indoor Seating|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1654620000,106.9025790000']",4.5,935
https://www.zomato.com/jakarta/d-crepes-1-kelapa-gading/info,D' Crepes,0,Desserts|Snacks,Rp50.000 for two people (approx.),Takeaway Available|Indoor Seating|Wifi|Desserts and Bakes,"['https://www.google.com/maps/dir/?api=1&destination=-6.1564754584,106.9094811380']",3.5,25
https://www.zomato.com/jakarta/eggo-waffle-kelapa-gading/info,Eggo Waffle,0,Desserts,Rp60.000 for two people (approx.),Takeaway Available|Desserts and Bakes|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1565557939,106.9092025235']",3.4,98
https://www.zomato.com/jakarta/restoran-sederhana-kelapa-gading/info,Restoran Sederhana,1,Padang|Indonesian,Rp160.000 for two people (approx.),Breakfast|Home Delivery|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1596940000,106.9056350000']",3.9,40
https://www.zomato.com/jakarta/chicken-phong-kelapa-gading/info,Chicken Phong,0,Korean,Rp280.000 for two people (approx.) Without alcohol,Takeaway Available|Beer|Indoor Seating|Wifi,"['https://www.google.com/maps/dir/?api=1&destination=-6.1497558979,106.8910231814']",3.7,66
https://www.zomato.com/jakarta/warung-tahu-kelapa-gading/info,Warung Tahu,0,Asian,Rp200.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1521850000,106.9058800000']",3.2,32
https://www.zomato.com/jakarta/eaton-noodles-kelapa-gading/info,Eaton Noodles,0,Indonesian|Chinese|Bakery,Rp150.000 for two people (approx.),Breakfast|Home Delivery|Takeaway Available|Indoor Seating|Wifi|Desserts and Bakes|Table booking recommended|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1616765759,106.9044704363']",3,36
https://www.zomato.com/jakarta/kepiting-cak-gundul-kelapa-gading/info,Kepiting Cak Gundul,0,Seafood,Rp120.000 for two people (approx.) Without alcohol,Takeaway Available|Beer|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.1462510000,106.9094040000']",3.5,98
https://www.zomato.com/jakarta/mr-musa-kelapa-gading/info,Mr. Musa,0,Korean,Rp200.000 for two people (approx.),Takeaway Available|Indoor Seating|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1496008917,106.8995579705']",3.8,49
https://www.zomato.com/jakarta/hunan-fish-noodle-kelapa-gading/info,Hunan Fish Noodle,0,Chinese,Rp100.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1570464738,106.9088856876']",3.4,40
https://www.zomato.com/jakarta/warung-nyonyah-kelapa-gading/info,Warung Nyonyah,0,Indonesian|Coffee,Rp100.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1521980000,106.9058320000']",3.3,7
https://www.zomato.com/jakarta/warunk-upnormal-1-kelapa-gading/info,Warunk Upnormal,1,Street Food|Indonesian,Rp100.000 for two people (approx.),Home Delivery|Takeaway Available|Indoor Seating|Wifi|Praying Room|Smoking Area|Desserts and Bakes|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1526433393,106.9094365463']",3.3,182
https://www.zomato.com/jakarta/bukan-ropang-kelapa-gading/info,Bukan Ropang,0,Street Food,Rp80.000 for two people (approx.),Takeaway Available|Private Dining Area Available|Smoking Area|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1452450311,106.8947692215']",3.8,122
https://www.zomato.com/jakarta/sari-sanjaya-kelapa-gading/info,Sari Sanjaya,0,Seafood,Rp100.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1536310000,106.9089430000']",3.9,166
https://www.zomato.com/jakarta/mr-ca-jang-kelapa-gading/info,Mr. Ca Jang,0,Korean,Rp200.000 for two people (approx.),Takeaway Available|Table booking recommended|Wifi|Indoor Seating|Smoking Area|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1510642821,106.8907764182']",3.6,24
https://www.zomato.com/jakarta/bakmi-medan-kebon-jahe-kelapa-gading/info,Bakmi Medan Kebon Jahe,0,Bakmi|Medan,Rp90.000 for two people (approx.),Breakfast|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1474181323,106.9097832218']",3.8,34
